Core_power_sum(W),CPU_power(W),CPU_usage(%),Time(s)
96.025,134.028,45,607.625701
106.593,145.415,53,608.626669
111.253,150.603,56,609.627737
117.067,156.452,59,610.628873
109.261,148.94,54,611.62994
106.905,146.02,53,612.630958
110.06,149.414,55,613.631916
112.299,151.642,56,614.6329
95.9225,134.316,46,615.633913
100.165,138.405,50,616.634847
106.605,145.309,51,617.635808
111.771,150.756,55,618.636793
113.159,152.659,56,619.637868
102.169,141.276,51,620.638884
117.738,156.852,60,621.639851
121.913,161.205,61,622.640826
107.298,146.592,53,623.641809
92.9203,131.319,45,624.642633
87.876,125.772,40,625.643449
93.2711,130.534,44,626.644296
99.0155,135.743,49,627.64524
110.421,149.726,55,628.646243
104.428,143.562,51,629.647289
115.823,154.847,57,630.648437
121.582,161.337,60,631.649467
113.17,152.718,56,632.650438
104.372,143.715,51,633.651325
97.9886,136.276,47,634.652218
97.937,136.227,47,635.653179
107.717,146.296,53,636.654283
105.22,144.1,54,637.655274
117.757,156.853,59,638.656284
121.392,160.694,61,639.657292
122.214,161.451,60,640.658373
114.44,153.98,56,641.659449
115.311,154.461,57,642.66052
99.4445,138.774,48,643.661576
85.8592,122.808,39,644.662579
83.2184,120.604,38,645.663521
85.8104,122.859,40,646.664472
111.28,150.304,55,647.665527
115.642,155.733,58,648.66659
116.796,157.114,59,649.667612
125.649,163.923,61,650.66872
108.437,148.333,54,651.669981
100.359,139.277,48,652.67103
84.7144,122.095,38,653.671977
79.8622,116.652,35,654.67306
106.977,142.982,48,655.674037
128.238,167.194,63,656.674896
128.136,167.384,63,657.675798
126.773,165.974,62,658.676816
123.602,163.256,61,659.677798
118.344,157.819,59,660.678745
101.02,139.721,48,661.679692
87.2871,124.918,39,662.680698
77.6101,114.573,33,663.681827
96.0161,133.305,45,664.682862
120.77,160.151,60,665.683769
123.639,162.881,62,666.684699
123.708,163.169,62,667.685656
123.284,162.646,61,668.686635
115.057,154.481,57,669.687646
102.185,141.169,49,670.688577
89.1513,126.224,41,671.689466
93.8177,131.963,45,672.690426
96.2211,133.948,45,673.691414
117.96,155.743,58,674.692279
121.826,159.94,59,675.693183
128.092,166.554,65,676.694023
125.817,165.482,63,677.694931
121.914,160.504,61,678.695901
122.765,161.62,61,679.697015
104.895,143.345,52,680.697975
111.479,150.955,57,681.698912
100.3,139.143,48,682.699846
114.957,152.138,57,683.70342
110.088,147.537,53,684.704362
106.952,145.739,53,685.705321
114.503,153.89,57,686.706313
117.218,156.494,57,687.707296
109.523,148.947,53,688.70819
109.562,148.133,55,689.709118
111.452,150.804,56,690.710179
108.911,148.218,53,691.711205
109.894,147.989,54,692.712139
112.565,152.068,56,693.713158
115.188,154.375,59,694.714003
115.512,154.392,56,695.714819
112.707,152.452,56,696.715664
104.66,143.671,52,697.716516
110.335,149.08,54,698.717388
111.078,150.099,54,699.718366
105.49,144.663,51,700.719405
100.405,138.579,48,701.720498
91.3983,128.928,43,702.721519
103.165,141.423,49,703.722454
109.257,148.114,54,704.723317
108.627,147.938,55,705.724151
114.678,152.969,56,706.725108
116.93,156.322,56,707.726036
118.503,158.391,58,708.726993
110.36,149.168,55,709.728115
102.63,141.126,49,710.729145
89.3303,127.03,40,711.730115
106.597,143.103,52,712.731045
113.972,152.852,56,713.731966
106.971,146.107,52,714.732901
112.234,150.948,55,715.73388
122.905,162.14,61,716.735025
123.304,162.556,61,717.736001
112.332,151.652,54,718.737106
107.062,145.271,52,719.73807
92.7602,131.284,42,720.738861
87.2259,123.946,37,721.73983
104.754,143.507,51,722.740815
114.333,152.878,57,723.741799
118.636,158.162,58,724.742663
121.262,160.767,60,725.743621
121.049,160.883,60,726.744633
114.643,153.7,57,727.74553
100.893,139.358,48,728.746441
100.554,139.034,49,729.747528
95.9615,133.645,45,730.748588
107.898,146.654,53,731.749616
111.037,150.187,53,732.750569
112.066,151.664,56,733.751522
123.698,161.989,61,734.752501
115.296,154.677,56,735.753522
113.418,152.982,58,736.754488
95.8302,134.591,45,737.755445
85.4892,122.501,39,738.756508
92.3707,129.536,43,739.757528
91.1851,126.874,39,740.758488
119.755,158.066,59,741.759491
128.59,167.281,63,742.760573
129.159,167.826,63,743.761577
115.408,154.458,58,744.762571
112.055,151.691,55,745.763535
110.01,149.253,55,746.764517
114.178,152.788,56,747.765537
102.684,141.887,50,748.766586
105.387,143.295,52,749.767468
106.645,145.47,51,750.7683
110.862,149.555,56,751.769307
110.297,149.14,55,752.77031
116.666,155.754,58,753.771392
110.42,149.994,55,754.772416
111.063,150.299,54,755.773236
122.64,161.862,60,756.774151
110.202,149.226,53,757.775137
102.86,141.674,49,758.776158
89.2764,127.408,40,759.777165
108.819,146.779,53,760.778034
104.697,143.52,52,761.778863
111.623,150.514,56,762.779761
108.579,147.628,53,763.780798
112.893,152.447,57,764.781705
120.259,160.407,59,765.782604
112.907,152.735,55,766.783534
103.222,141.2,50,767.784458
102.932,141.096,49,768.785327
95.3948,132.477,42,769.786245
109.67,148.105,55,770.787213
117.596,157.197,59,771.788183
110.037,149.601,55,772.789194
114.137,153.326,56,773.790118
123.771,163.125,61,774.792653
119.59,159.397,59,775.793648
-65430,144.704,51,776.794645
100.32,138.827,46,777.796345
103.63,141.932,50,778.797381
105.268,143.596,50,779.798298
114.559,154.01,56,780.799245
105.133,144.162,51,781.800203
117.815,156.761,57,782.801303
123.077,162.492,61,783.802369
116.98,156.63,58,784.803234
114.593,153.694,56,785.804274
101.764,140.275,48,786.805469
98.3615,136.471,46,787.806416
100.258,138.253,47,788.807406
103.862,142.679,51,789.808423
111.485,150.516,56,790.809448
105.081,143.861,54,791.810445
120.698,160.824,61,792.811489
110.841,150.113,54,793.812624
107.771,147.325,53,794.813525
92.8369,130.593,41,795.814309
117.723,154.595,58,796.815101
97.5242,135.801,47,797.816089
111.465,149.776,57,798.817168
114.201,153.133,58,799.818196
122.99,161.559,62,800.819071
133.299,171.225,67,801.8201
134.994,171.897,68,802.821061
132.684,170.023,67,803.82188
131.994,169.337,65,804.822837
109.713,147.493,52,805.823761
105.926,144.201,49,806.824674
67.9338,104.469,24,807.825497
108.794,-65390.5,53,808.826513
121.568,159.306,59,809.827507
133.952,171.404,66,810.828458
135.639,172.458,67,811.829415
135.692,172.709,67,812.830412
123.627,161.902,61,813.831364
120.045,158.627,59,814.83244
104.933,143.638,51,815.833373
117.554,156.105,59,816.834335
118.557,156.634,59,817.835255
128.167,164.083,63,818.836585
101.592,139.946,47,819.837582
110.192,148.934,54,820.838526
119.153,158.946,59,821.83952
104.544,141.951,51,822.840432
104.839,142.211,48,823.841252
91.8899,128.797,41,824.842126
120.669,159.108,59,825.842988
117.76,156.595,57,826.843877
114.099,153.214,55,827.844875
116.011,154.656,56,828.845971
125.411,164.198,60,829.847039
110.608,149.048,52,830.847989
101.585,140.126,47,831.848918
99.3214,136.708,46,832.849763
120.21,158.351,57,833.850745
118.518,157.469,58,834.851686
118.991,158.097,59,835.857054
108.698,147.583,52,836.857931
112.346,150.489,54,837.858936
112.012,150.803,53,838.859929
107.632,145.628,51,839.86099
89.3736,126.901,40,840.862099
104.311,141.896,50,841.863175
116.946,156.53,59,842.864137
114.153,152.313,56,843.865096
111.828,150.063,53,844.866073
110.576,149.33,55,845.867088
115.771,154.828,55,846.868249
103.481,141.483,50,847.869144
90.641,127.299,40,848.870074
108.725,145.368,52,849.870956
121.635,160.063,59,850.871915
121.81,160.892,59,851.872774
119.198,157.757,57,852.873505
111.32,150.477,54,853.874387
112.403,150.759,55,854.875297
114.229,152.453,55,855.876256
104.791,142.963,50,856.877339
87.6613,125.137,39,857.878308
101.416,138.853,48,858.879214
121.692,160.724,61,859.880264
114.611,153.62,56,860.883768
110.042,149.177,54,861.884807
115.545,154.308,58,862.885737
119.92,159.013,58,863.886683
108.796,147.159,53,864.887641
102.59,141.021,48,865.888638
98.8563,136.455,47,866.889657
118.176,156.414,58,867.890596
113.764,152.763,56,868.891432
109.988,149.042,55,869.892447
108.874,147.425,53,870.893399
111.205,150.069,54,871.894496
113.941,153.15,56,872.895505
105.893,144.221,50,873.896495
95.5934,132.954,42,874.897422
95.2847,131.445,42,875.898428
127.736,163.848,63,876.899353
123.065,158.602,62,877.900144
134.727,171.618,65,878.901135
138.461,173.024,69,879.902035
136.679,171.844,68,880.90296
134.592,170.543,66,881.903782
126.115,164.194,60,882.904561
121.973,159.909,58,883.905452
130.542,166.929,64,884.906237
123.888,160.578,60,885.906978
113.363,151.327,53,886.907768
128.102,165.74,61,887.908712
134.761,170.902,64,888.909654
134.163,170.807,62,889.910558
115.131,153.06,55,890.911515
