Number of GPUs 4
Time, device, gpu_util(%), gpu_mem(%), memory_used/total(Mib), power_current/limit(W), temperature(C), Frequency(MHz)
05:15:22.834005, 3, 56, 14, 8474/11016, 114.931/250.0, 73, 1845
05:15:23.837790, 0, 64, 15, 8377/11019, 113.247/250.0, 61, 1860
05:15:23.840429, 1, 62, 18, 8377/11019, 120.162/250.0, 59, 1860
05:15:23.843527, 2, 56, 5, 8377/11019, 100.831/250.0, 64, 1830
05:15:23.846424, 3, 55, 14, 8474/11016, 129.303/250.0, 73, 1845
05:15:24.850141, 0, 64, 15, 8377/11019, 134.299/250.0, 61, 1860
05:15:24.852641, 1, 63, 18, 8377/11019, 119.846/250.0, 59, 1860
05:15:24.855162, 2, 55, 5, 8377/11019, 103.688/250.0, 64, 1830
05:15:24.857761, 3, 56, 14, 8474/11016, 129.56900000000002/250.0, 73, 1845
05:15:25.861487, 0, 65, 15, 8377/11019, 117.075/250.0, 60, 1860
05:15:25.863966, 1, 64, 18, 8377/11019, 120.302/250.0, 59, 1860
05:15:25.866637, 2, 56, 5, 8377/11019, 106.087/250.0, 65, 1830
05:15:25.869034, 3, 58, 14, 8474/11016, 129.63400000000001/250.0, 73, 1845
05:15:26.873330, 0, 64, 15, 8377/11019, 113.45/250.0, 61, 1860
05:15:26.875989, 1, 63, 18, 8377/11019, 120.32300000000001/250.0, 60, 1860
05:15:26.878231, 2, 37, 3, 8377/11019, 92.607/250.0, 64, 1830
05:15:26.880862, 3, 53, 15, 8474/11016, 120.85600000000001/250.0, 73, 1845
05:15:27.886390, 0, 64, 15, 8377/11019, 134.798/250.0, 61, 1860
05:15:27.889610, 1, 62, 18, 8377/11019, 121.67/250.0, 60, 1860
05:15:27.892770, 2, 0, 0, 8377/11019, 98.864/250.0, 64, 1830
05:15:27.895724, 3, 51, 15, 8474/11016, 130.36/250.0, 73, 1845
05:15:28.899740, 0, 66, 16, 8377/11019, 128.467/250.0, 61, 1860
05:15:28.902852, 1, 57, 16, 8377/11019, 121.119/250.0, 60, 1860
05:15:28.905678, 2, 54, 9, 8377/11019, 117.045/250.0, 65, 1830
05:15:28.908320, 3, 59, 15, 8474/11016, 118.518/250.0, 73, 1845
05:15:29.912322, 0, 64, 15, 8377/11019, 134.662/250.0, 62, 1860
05:15:29.915741, 1, 40, 9, 8377/11019, 121.247/250.0, 59, 1860
05:15:29.918915, 2, 63, 10, 8377/11019, 114.83200000000001/250.0, 65, 1830
05:15:29.923909, 3, 58, 14, 8474/11016, 130.683/250.0, 73, 1845
05:15:30.927392, 0, 66, 16, 8377/11019, 135.174/250.0, 61, 1860
05:15:30.929737, 1, 64, 13, 8377/11019, 84.758/250.0, 59, 1860
05:15:30.932281, 2, 65, 11, 8377/11019, 117.60600000000001/250.0, 65, 1830
05:15:30.934664, 3, 58, 15, 8474/11016, 130.93/250.0, 73, 1845
05:15:31.938955, 0, 63, 17, 8377/11019, 120.629/250.0, 61, 1860
05:15:31.941432, 1, 20, 10, 8377/11019, 122.718/250.0, 60, 1860
05:15:31.943789, 2, 64, 10, 8377/11019, 110.124/250.0, 65, 1830
05:15:31.946353, 3, 61, 16, 8474/11016, 119.188/250.0, 73, 1845
05:15:32.949951, 0, 64, 16, 8377/11019, 95.176/250.0, 60, 1860
05:15:32.952705, 1, 68, 31, 8377/11019, 121.187/250.0, 60, 1860
05:15:32.955607, 2, 62, 11, 8377/11019, 117.756/250.0, 65, 1830
05:15:32.958576, 3, 33, 5, 8474/11016, 113.36500000000001/250.0, 73, 1845
05:15:33.963462, 0, 42, 9, 8377/11019, 122.402/250.0, 61, 1860
05:15:33.966730, 1, 63, 19, 8377/11019, 131.54500000000002/250.0, 61, 1860
05:15:33.969197, 2, 63, 10, 8377/11019, 95.174/250.0, 66, 1830
05:15:33.971681, 3, 53, 7, 8474/11016, 113.227/250.0, 73, 1845
05:15:34.975251, 0, 59, 12, 8377/11019, 114.293/250.0, 61, 1860
